SCORES the 	 0.12 0.13 0.1 0.08 0.1 0.26 0.05 0.12 0.22 0.05 0.05 0.07 0.12 0.48 0.36 0.11 0.06 0.69 0.21 1.0 0.11
SCORES was 	 0.01 0.04 0.03 0.0 0.0 0.03 0.0 0.01 0.2 0.0 0.0 0.0 0.0 0.41 0.59 0.03 0.51 0.54 0.92 1.0 0.01
SCORES who 	 0.0 0.01 0.01 0.0 0.0 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.0 1.0 0.97 0.99 1.0 0.98 1.0 1.0 0.0
SCORES that 	 0.0 0.52 0.43 0.0 0.0 0.69 0.0 0.0 0.88 0.0 0.0 0.01 0.0 0.32 0.89 0.66 0.0 0.0 0.97 1.0 0.01
SCORES fact 	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.32 0.48 0.63 0.31 0.99 0.92 1.0 0.0
SCORES information 	 0.0 0.01 0.01 0.0 0.0 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.54 0.59 0.12 0.25 0.06 0.99 1.0 0.0
SCORES report 	 0.0 0.03 0.02 0.0 0.0 0.03 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.43 0.85 0.88 0.03 0.6 0.97 1.0 0.0
SCORES belief 	 0.0 0.02 0.01 0.0 0.0 0.0 0.0 0.0 0.11 0.0 0.0 0.0 0.0 0.65 0.22 0.01 0.68 0.74 0.99 1.0 0.0
SCORES finding 	 0.0 0.01 0.02 0.0 0.0 0.01 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.6 0.58 0.89 0.95 0.24 0.99 1.0 0.0
SCORES prediction 	 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.76 0.6 0.02 0.03 0.71 0.9 1.0 0.0
SCORES of 	 0.03 0.1 0.07 0.02 0.02 0.09 0.02 0.03 0.14 0.02 0.01 0.02 0.07 0.32 0.37 0.05 0.06 0.43 0.65 1.0 0.03
SCORES by 	 0.01 0.06 0.05 0.0 0.0 0.06 0.0 0.01 0.19 0.0 0.0 0.0 0.0 0.5 0.76 0.17 0.41 0.54 0.92 1.0 0.01
SCORES about 	 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.36 0.16 0.48 0.09 0.51 0.96 1.0 0.0
