SCORES the 	 0.03 0.03 0.01 0.96 0.66 0.0 0.01 0.76 0.0 0.02 0.97 0.04 0.65 0.69 0.99 0.48 0.98 1.0 1.0 1.0 0.0
SCORES was 	 0.0 0.0 0.0 0.86 0.99 0.01 0.0 0.75 0.02 0.0 1.0 0.01 0.73 0.3 0.99 0.99 0.99 1.0 1.0 1.0 0.0
SCORES that 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.02 0.0 1.0 0.0 0.98 0.99 1.0 0.99 1.0 1.0 1.0 1.0 0.0
SCORES fact 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.94 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES information 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES report 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.97 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES belief 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.01 0.0 1.0 0.0 0.84 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES finding 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.01 0.0 1.0 0.0 0.88 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES prediction 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.94 0.0 0.0 1.0 0.0 0.44 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES of 	 0.02 0.03 0.01 0.62 0.93 0.02 0.03 0.44 0.03 0.02 0.95 0.02 0.17 0.63 0.97 0.85 0.97 0.99 1.0 1.0 0.0
SCORES by 	 0.0 0.0 0.0 1.0 1.0 0.0 0.01 0.05 0.0 0.0 1.0 0.0 0.58 0.86 1.0 0.97 1.0 1.0 1.0 1.0 0.0
SCORES about 	 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.99 0.0 0.0 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
