SCORES the 	 0.04 0.96 0.01 0.63 0.98 0.02 0.86 0.68 0.96 0.17 0.94 0.94 0.97 0.92 0.86 0.98 0.95 0.99 1.0 1.0 0.04
SCORES was 	 0.03 1.0 0.11 0.99 0.99 0.0 0.99 0.94 1.0 0.01 0.95 0.99 0.99 0.99 0.98 1.0 1.0 1.0 1.0 1.0 0.0
SCORES that 	 0.03 1.0 0.09 0.98 1.0 0.0 0.99 0.84 1.0 0.0 0.99 0.99 0.99 1.0 0.99 1.0 1.0 1.0 1.0 1.0 0.0
SCORES fact 	 0.0 1.0 0.01 1.0 1.0 0.0 0.99 0.99 1.0 0.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES information 	 0.0 1.0 0.01 0.99 1.0 0.0 0.98 0.97 1.0 0.0 0.99 1.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0 1.0 0.0
SCORES report 	 0.01 1.0 0.25 1.0 1.0 0.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES belief 	 0.0 1.0 0.0 1.0 1.0 0.0 1.0 0.99 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES finding 	 0.01 1.0 0.07 1.0 1.0 0.0 1.0 0.98 1.0 0.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES prediction 	 0.0 1.0 0.01 1.0 1.0 0.0 1.0 0.96 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
SCORES of 	 0.06 0.92 0.12 0.71 0.94 0.04 0.83 0.79 0.92 0.09 0.82 0.94 0.91 0.88 0.81 0.94 0.94 0.99 0.99 1.0 0.06
SCORES by 	 0.02 0.99 0.04 0.96 0.99 0.0 0.89 0.63 0.99 0.02 0.97 0.99 0.98 0.97 0.96 0.99 0.99 1.0 1.0 1.0 0.01
SCORES about 	 0.01 1.0 0.07 1.0 1.0 0.0 1.0 0.99 1.0 0.0 0.99 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0
