SCORES the 	 0.15 0.09 0.2 0.26 0.53 0.43 0.03 0.33 0.31 0.34 0.14 0.41 0.21 0.4 0.74 0.17 0.33 0.3 0.99 1.0 0.16
SCORES was 	 0.02 0.03 0.14 0.2 0.12 0.04 0.0 0.26 0.02 0.18 0.15 0.09 0.91 0.88 0.99 0.25 0.49 0.72 1.0 1.0 0.05
SCORES who 	 0.01 0.01 0.71 0.41 0.26 0.3 0.0 0.81 0.01 0.29 0.05 0.18 0.99 0.99 1.0 0.17 1.0 0.99 1.0 1.0 0.07
SCORES that 	 0.03 0.04 0.18 0.66 0.05 0.83 0.0 0.53 0.03 0.92 0.02 0.59 0.97 0.85 0.97 0.6 0.01 0.01 1.0 1.0 0.09
SCORES fact 	 0.0 0.0 0.03 0.13 0.02 0.09 0.0 0.34 0.0 0.19 0.01 0.02 1.0 0.99 1.0 0.31 0.75 0.79 1.0 1.0 0.04
SCORES information 	 0.0 0.01 0.16 0.16 0.06 0.01 0.0 0.36 0.0 0.18 0.02 0.04 1.0 1.0 1.0 0.32 0.67 0.9 1.0 1.0 0.03
SCORES report 	 0.0 0.0 0.08 0.2 0.03 0.01 0.0 0.28 0.0 0.37 0.01 0.02 1.0 0.99 1.0 0.1 0.09 0.89 1.0 1.0 0.03
SCORES belief 	 0.01 0.15 0.14 0.17 0.03 0.04 0.0 0.36 0.01 0.5 0.01 0.04 1.0 0.99 1.0 0.05 0.24 0.82 1.0 1.0 0.03
SCORES finding 	 0.0 0.01 0.04 0.16 0.04 0.1 0.0 0.48 0.0 0.28 0.01 0.05 1.0 1.0 1.0 0.1 0.43 0.91 1.0 1.0 0.02
SCORES prediction 	 0.01 0.02 0.18 0.18 0.04 0.02 0.0 0.28 0.01 0.94 0.01 0.02 0.99 0.99 0.99 0.05 0.11 0.96 1.0 1.0 0.01
SCORES of 	 0.09 0.07 0.21 0.2 0.21 0.16 0.03 0.26 0.09 0.21 0.11 0.15 0.58 0.46 0.61 0.36 0.5 0.39 0.99 1.0 0.15
SCORES by 	 0.04 0.04 0.17 0.17 0.2 0.11 0.01 0.27 0.06 0.18 0.04 0.15 0.69 0.7 0.93 0.16 0.75 0.43 1.0 1.0 0.1
SCORES about 	 0.01 0.01 0.1 0.19 0.06 0.15 0.0 0.45 0.01 0.37 0.02 0.04 1.0 0.97 1.0 0.22 0.72 0.93 1.0 1.0 0.02
