Noun	theNOUN	theNOUNthat	Conditional	CILower	CIUpper	Group	InMaze
truth	31646	332	-4.55723206836244	-4.66727841625507	-4.45026284944168	FACT	bold
assessment	2955	41	-4.27768186313589	-4.60770395580232	-3.97517195823468	CLAIM	bold
report	13207	288	-3.82554179090786	-3.94332353442065	-3.71139875669834	CLAIM	bold
declaration	2159	50	-3.76537742508666	-4.06071665075926	-3.49268226349875	CLAIM	bold
story	46069	1197	-3.650321846037	-3.70707751096775	-3.59442368566043	CLAIM	bold
confirmation	759	20	-3.63626950384164	-4.1247094929838	-3.20883091278337	CLAIM	bold
complaint	1486	70	-3.05534798322835	-3.29946737691594	-2.82778037552888	ACCUSATION	bold
remark	531	29	-2.90746619125546	-3.30016161322921	-2.55753315716466	CLAIM	bold
news	24387	1369	-2.87996965712623	-2.93219419215146	-2.82853672739638	CLAIM	bold
guess	102	6	-2.83321334405622	-3.82169246305917	-2.0903351895197	CLAIM	plain
admission	530	34	-2.74651648193001	-3.10483544936479	-2.42482305465239	FACT	bold
information	16987	1290	-2.57780612726359	-2.63108586663905	-2.52539723093024	CLAIM	plain
evidence	12882	1024	-2.53211446150738	-2.59192014402784	-2.4734160357406	CLAIM	plain
announcement	2680	215	-2.52293404537724	-2.65618137025492	-2.39514226951766	CLAIM	bold
disclosure	648	56	-2.44853900561712	-2.71901764155667	-2.20041794107664	FACT	bold
proof	1214	107	-2.42884713715754	-2.62014854228069	-2.24892665670022	FACT	bold
prediction	798	76	-2.35137525716348	-2.58004286906765	-2.13916087638311	CLAIM	plain
statement	4413	527	-2.12510946072818	-2.20733712741732	-2.04520649063395	CLAIM	bold
concern	2309	276	-2.12416894363735	-2.23893086956834	-2.01390938766721	CLAIM	plain
message	11880	1441	-2.10951899691711	-2.1586849456881	-2.06119333552676	CLAIM	bold
speculation	474	60	-2.06686275947298	-2.32276215402439	-1.83310452897103	CLAIM	plain
thought	8898	1198	-2.00517303269059	-2.05878417084552	-1.95259671898617	CLAIM	plain
myth	2356	369	-1.85392390073095	-1.95075064215393	-1.76064068717008	CLAIM	plain
view	10184	1730	-1.77269645274542	-1.81629560464637	-1.72985091872905	CLAIM	plain
rumor	775	151	-1.63558319253842	-1.78669872145589	-1.49383896418093	CLAIM	plain
accusation	591	124	-1.56153445180106	-1.72788973956947	-1.40690684479358	ACCUSATION	plain
opinion	2196	488	-1.50407739677627	-1.58481285406204	-1.42627232884714	CLAIM	bold
revelation	921	213	-1.46416787054588	-1.58771901448202	-1.34753574518971	FACT	plain
allegation	608	146	-1.42656826025783	-1.57655182668876	-1.28690863015603	ACCUSATION	plain
recognition	2025	493	-1.41281580549795	-1.49210066240848	-1.3365163507098	FACT	plain
observation	1595	397	-1.39069273453175	-1.47907699270305	-1.3060575329104	FACT	plain
idea	46709	11856	-1.37110279703919	-1.38675505157444	-1.35557299575175	CLAIM	plain
understanding	2225	565	-1.3706864634539	-1.44411038721879	-1.29989829175748	FACT	plain
presumption	779	199	-1.36470622114626	-1.49093445064415	-1.24613978306003	CLAIM	plain
certainty	637	165	-1.35082418167158	-1.48986328080071	-1.2211164821792	FACT	plain
feeling	7426	1934	-1.34539695872379	-1.38436524231287	-1.30719399845799	CLAIM	plain
perception	3424	892	-1.34509860468162	-1.40292800402604	-1.28894239492401	CLAIM	plain
indication	124	33	-1.32377400413856	-1.6565222763007	-1.04139018020863	CLAIM	plain
conjecture	43	12	-1.27629346590556	-1.87542873109507	-0.828538675895576	CLAIM	plain
reminder	217	61	-1.26902348936715	-1.50347563264325	-1.06147383225866	FACT	plain
intuition	111	35	-1.15418213982292	-1.4678660639209	-0.890734123523722	CLAIM	bold
insinuation	69	25	-1.01523067972906	-1.38649676414226	-0.719668957787686	CLAIM	plain
claim	2897	1075	-0.991355057207588	-1.04002160576836	-0.944276651961783	CLAIM	plain
sense	12043	4604	-0.961558087418707	-0.984554733154437	-0.938932833785813	CLAIM	bold
conviction	1246	494	-0.925158182159476	-0.996476065210417	-0.857434601109172	CLAIM	plain
suggestion	1979	793	-0.914523723967718	-0.970152795976565	-0.861129393986795	CLAIM	bold
conclusion	4771	1937	-0.901415542109112	-0.936452311813388	-0.867290747743574	CLAIM	bold
suspicion	521	212	-0.899163767081355	-1.00950491910331	-0.797436301231133	ACCUSATION	bold
assurance	353	145	-0.889734314512722	-1.02452861697843	-0.767711406798708	CLAIM	bold
finding	1664	688	-0.883190783447811	-0.942454587147049	-0.8265443805663	CLAIM	plain
notion	12292	5520	-0.800570783979234	-0.820408626278206	-0.781066148639259	CLAIM	bold
assertion	716	358	-0.693147180559945	-0.770584125982675	-0.621278135963628	CLAIM	bold
realization	2184	1124	-0.66426430641116	-0.706324360367008	-0.623975599549784	FACT	bold
impression	5027	2640	-0.644044467552214	-0.670898232563999	-0.617947258748027	CLAIM	bold
assumption	3919	2348	-0.512272617251646	-0.538552894631592	-0.486906117532368	CLAIM	bold
contention	474	293	-0.481034712678009	-0.557351988614615	-0.412369654585981	CLAIM	bold
belief	3861	2753	-0.338234991121629	-0.358859566219341	-0.318471365135461	CLAIM	bold
fact	73381	57928	-0.23646418643923	-0.240231323202348	-0.23274008797628	FACT	bold
