"","SentenceID","Label","critical_word","Sentence"
"1",1,"exp.b.1","was","The insinuation that the teacher failed the student was only a malicious smear."
"2",2,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear."
"3",3,"exp.a.1","was","The insinuation was only a malicious smear."
"4",4,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear."
"5",5,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe."
"6",6,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe."
"7",7,"exp.a.2","seemed","The certainty seemed hard to believe."
"8",8,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe."
"9",9,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus."
"10",10,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus."
"11",11,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus."
"12",12,"exp.a.3","was","The understanding was entirely bogus."
"13",13,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV."
"14",14,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV."
"15",15,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV."
"16",16,"exp.a.4","appeared","The guess appeared on TV."
"17",17,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy."
"18",18,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy."
"19",19,"exp.c.5","drove","The conviction that the guest who the cousin invited visited the uncle drove Jill crazy."
"20",20,"exp.a.5","drove","The conviction drove Jill crazy."
"21",21,"exp.c.6","became","The story that the psychiatrist who the nurse assisted diagnosed the patient became widely known."
"22",22,"exp.d.6","became","The story that the psychiatrist who the nurse who prescribed medication assisted diagnosed the patient became widely known."
"23",23,"exp.a.6","became","The story became widely known."
"24",24,"exp.b.6","became","The story that the psychiatrist diagnosed the patient became widely known."
"25",25,"exp.b.7","was","The sense that the driver phoned the tourist was absolutely true."
"26",26,"exp.a.7","was","The sense was absolutely true."
"27",27,"exp.c.7","was","The sense that the driver who the guide called phoned the tourist was absolutely true."
"28",28,"exp.d.7","was","The sense that the driver who the guide who directed traffic called phoned the tourist was absolutely true."
"29",29,"exp.c.8","appeared","The perception that the actor who the fans loved greeted the director appeared to be true."
"30",30,"exp.b.8","appeared","The perception that the actor greeted the director appeared to be true."
"31",31,"exp.d.8","appeared","The perception that the actor who the fans who followed his career loved greeted the director appeared to be true."
