Noun	Item	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	SurprisalsWithThat	SurprisalsWithoutThat	Word
exp.b.1	was	5.962	4.34	The insinuation that the teacher failed the student was only a malicious smear.	[(0.729, 'the'), (0.919, 'insinuation'), (0.994, 'that'), (0.611, 'the'), (0.0, 'teacher'), (0.998, 'failed'), (0.13, 'the'), (1.0, 'student'), (0.926, 'was')]
exp.d.1	was	6.18	5.744	The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.	[(0.607, 'the'), (0.833, 'insinuation'), (0.017, 'that'), (0.779, 'the'), (0.998, 'teacher'), (1.0, 'who'), (0.676, 'the'), (0.578, 'principal'), (0.994, 'who'), (1.0, 'excelled'), (0.953, 'in'), (1.0, 'leadership'), (0.971, 'liked'), (0.998, 'failed'), (0.13, 'the'), (1.0, 'student'), (0.926, 'was')]
exp.a.1	was	6.42	5.314	The insinuation was only a malicious smear.	[(0.13, 'the'), (0.997, 'insinuation'), (0.926, 'was')]
exp.c.1	was	6.37	5.729	The insinuation that the teacher who the principal liked failed the student was only a malicious smear.	[(0.741, 'the'), (0.753, 'insinuation'), (0.002, 'that'), (0.498, 'the'), (0.64, 'teacher'), (1.0, 'who'), (0.702, 'the'), (1.0, 'principal'), (0.971, 'liked'), (0.998, 'failed'), (0.13, 'the'), (1.0, 'student'), (0.926, 'was')]
exp.c.2	seemed	9.63	9.232	The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.	[(0.741, 'the'), (1.0, 'certainty'), (0.002, 'that'), (0.498, 'the'), (0.983, 'doctor'), (1.0, 'who'), (0.702, 'the'), (1.0, 'colleague'), (0.392, 'mistrusted'), (0.998, 'cured'), (0.13, 'the'), (1.0, 'patients'), (0.998, 'seemed')]
exp.b.2	seemed	9.587	9.237	The certainty that the doctor cured the patients seemed hard to believe.	[(0.729, 'the'), (1.0, 'certainty'), (0.994, 'that'), (0.611, 'the'), (0.984, 'doctor'), (0.998, 'cured'), (0.13, 'the'), (1.0, 'patients'), (0.998, 'seemed')]
exp.a.2	seemed	10.556	10.375	The certainty seemed hard to believe.	[(0.13, 'the'), (1.0, 'certainty'), (0.998, 'seemed')]
exp.d.2	seemed	9.797	9.42	The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.	[(0.607, 'the'), (0.999, 'certainty'), (0.017, 'that'), (0.779, 'the'), (0.044, 'doctor'), (1.0, 'who'), (0.676, 'the'), (0.145, 'colleague'), (0.994, 'who'), (0.999, 'discovered'), (1.0, 'new'), (1.0, 'therapies'), (0.392, 'mistrusted'), (0.998, 'cured'), (0.13, 'the'), (1.0, 'patients'), (0.998, 'seemed')]
exp.b.3	was	8.233	7.875	The understanding that the president appointed the commander was entirely bogus.	[(0.729, 'the'), (1.0, 'understanding'), (0.994, 'that'), (0.611, 'the'), (0.918, 'president'), (0.999, 'appointed'), (0.13, 'the'), (1.0, 'commander'), (0.926, 'was')]
exp.d.3	was	7.923	7.832	The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.	[(0.607, 'the'), (0.999, 'understanding'), (0.017, 'that'), (0.779, 'the'), (0.808, 'president'), (1.0, 'who'), (0.676, 'the'), (0.667, 'farmer'), (0.994, 'who'), (1.0, 'implemented'), (1.0, 'agricultural'), (1.0, 'policies'), (0.0, 'admired'), (0.999, 'appointed'), (0.13, 'the'), (1.0, 'commander'), (0.926, 'was')]
exp.c.3	was	7.695	6.498	The understanding that the president who the farmer admired appointed the commander was entirely bogus.	[(0.741, 'the'), (1.0, 'understanding'), (0.002, 'that'), (0.498, 'the'), (0.84, 'president'), (1.0, 'who'), (0.702, 'the'), (1.0, 'farmer'), (0.0, 'admired'), (0.999, 'appointed'), (0.13, 'the'), (1.0, 'commander'), (0.926, 'was')]
exp.a.3	was	6.999	6.394	The understanding was entirely bogus.	[(0.13, 'the'), (1.0, 'understanding'), (0.926, 'was')]
