Noun	Item	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	SurprisalsWithThat	SurprisalsWithoutThat	Word
exp.b.1	was	4.428	4.39	The insinuation that the teacher failed the student was only a malicious smear.	[(0.909, 'the'), (0.806, 'insinuation'), (0.955, 'that'), (0.977, 'the'), (1.0, 'teacher'), (1.0, 'failed'), (0.996, 'the'), (1.0, 'student'), (0.014, 'was')]
exp.d.1	was	5.964	5.297	The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.	[(0.754, 'the'), (0.576, 'insinuation'), (0.096, 'that'), (0.747, 'the'), (0.005, 'teacher'), (0.002, 'who'), (0.691, 'the'), (0.993, 'principal'), (0.995, 'who'), (0.999, 'excelled'), (0.893, 'in'), (1.0, 'leadership'), (1.0, 'liked'), (1.0, 'failed'), (0.996, 'the'), (1.0, 'student'), (0.014, 'was')]
exp.a.1	was	5.305	5.305	The insinuation was only a malicious smear.	[(0.996, 'the'), (0.98, 'insinuation'), (0.014, 'was')]
exp.c.1	was	5.061	5.089	The insinuation that the teacher who the principal liked failed the student was only a malicious smear.	[(0.081, 'the'), (0.071, 'insinuation'), (0.968, 'that'), (0.8, 'the'), (0.999, 'teacher'), (0.999, 'who'), (0.905, 'the'), (1.0, 'principal'), (1.0, 'liked'), (1.0, 'failed'), (0.996, 'the'), (1.0, 'student'), (0.014, 'was')]
exp.c.2	seemed	8.234	7.993	The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.	[(0.081, 'the'), (0.003, 'certainty'), (0.968, 'that'), (0.8, 'the'), (0.999, 'doctor'), (0.999, 'who'), (0.905, 'the'), (1.0, 'colleague'), (0.933, 'mistrusted'), (1.0, 'cured'), (0.996, 'the'), (1.0, 'patients'), (0.0, 'seemed')]
exp.b.2	seemed	9.388	9.368	The certainty that the doctor cured the patients seemed hard to believe.	[(0.909, 'the'), (0.999, 'certainty'), (0.955, 'that'), (0.977, 'the'), (1.0, 'doctor'), (1.0, 'cured'), (0.996, 'the'), (1.0, 'patients'), (0.0, 'seemed')]
exp.a.2	seemed	10.392	10.392	The certainty seemed hard to believe.	[(0.996, 'the'), (1.0, 'certainty'), (0.0, 'seemed')]
exp.d.2	seemed	10.634	10.233	The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.	[(0.754, 'the'), (0.991, 'certainty'), (0.096, 'that'), (0.747, 'the'), (0.004, 'doctor'), (0.002, 'who'), (0.691, 'the'), (0.996, 'colleague'), (0.995, 'who'), (0.999, 'discovered'), (0.993, 'new'), (1.0, 'therapies'), (0.933, 'mistrusted'), (1.0, 'cured'), (0.996, 'the'), (1.0, 'patients'), (0.0, 'seemed')]
exp.b.3	was	8.114	8.061	The understanding that the president appointed the commander was entirely bogus.	[(0.909, 'the'), (0.999, 'understanding'), (0.955, 'that'), (0.977, 'the'), (0.999, 'president'), (1.0, 'appointed'), (0.996, 'the'), (1.0, 'commander'), (0.014, 'was')]
exp.d.3	was	8.507	8.39	The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.	[(0.754, 'the'), (0.99, 'understanding'), (0.096, 'that'), (0.747, 'the'), (0.007, 'president'), (0.002, 'who'), (0.691, 'the'), (0.991, 'farmer'), (0.995, 'who'), (0.999, 'implemented'), (0.993, 'agricultural'), (1.0, 'policies'), (1.0, 'admired'), (1.0, 'appointed'), (0.996, 'the'), (1.0, 'commander'), (0.014, 'was')]
exp.c.3	was	8.121	6.566	The understanding that the president who the farmer admired appointed the commander was entirely bogus.	[(0.081, 'the'), (0.002, 'understanding'), (0.968, 'that'), (0.8, 'the'), (0.997, 'president'), (0.999, 'who'), (0.905, 'the'), (1.0, 'farmer'), (1.0, 'admired'), (1.0, 'appointed'), (0.996, 'the'), (1.0, 'commander'), (0.014, 'was')]
exp.a.3	was	6.387	6.387	The understanding was entirely bogus.	[(0.996, 'the'), (1.0, 'understanding'), (0.014, 'was')]
exp.b.4	appeared	9.877	9.724	The guess that the victim sued the criminal appeared on TV.	[(0.909, 'the'), (0.998, 'guess'), (0.955, 'that'), (0.977, 'the'), (1.0, 'victim'), (1.0, 'sued'), (0.996, 'the'), (1.0, 'criminal'), (0.0, 'appeared')]
exp.c.4	appeared	12.318	11.1	The guess that the victim who the swimmer rescued sued the criminal appeared on TV.	[(0.081, 'the'), (0.002, 'guess'), (0.968, 'that'), (0.8, 'the'), (0.998, 'victim'), (0.999, 'who'), (0.905, 'the'), (1.0, 'swimmer'), (1.0, 'rescued'), (1.0, 'sued'), (0.996, 'the'), (1.0, 'criminal'), (0.0, 'appeared')]
exp.d.4	appeared	12.642	12.43	The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.	[(0.754, 'the'), (0.985, 'guess'), (0.096, 'that'), (0.747, 'the'), (0.004, 'victim'), (0.002, 'who'), (0.691, 'the'), (0.995, 'swimmer'), (0.995, 'who'), (1.0, 'administered'), (0.988, 'first'), (1.0, 'aid'), (1.0, 'rescued'), (1.0, 'sued'), (0.996, 'the'), (1.0, 'criminal'), (0.0, 'appeared')]
exp.a.4	appeared	9.242	9.242	The guess appeared on TV.	[(0.996, 'the'), (1.0, 'guess'), (0.0, 'appeared')]
exp.d.5	drove	11.7	11.015	The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.	[(0.626, 'the'), (0.004, 'conviction'), (0.901, 'that'), (0.081, 'the'), (0.001, 'guest'), (0.98, 'who'), (0.8, 'the'), (0.999, 'cousin'), (0.999, 'who'), (0.99, 'taught'), (1.0, 'yoga'), (1.0, 'invited'), (1.0, 'visited'), (0.996, 'the'), (1.0, 'uncle'), (0.0, 'drove')]
exp.b.5	drove	10.467	10.46	The conviction that the guest visited the uncle drove Jill crazy.	[(0.909, 'the'), (0.999, 'conviction'), (0.955, 'that'), (0.977, 'the'), (1.0, 'guest'), (1.0, 'visited'), (0.996, 'the'), (1.0, 'uncle'), (0.0, 'drove')]
